010601 V- 2PAD-P-- Προσέχετε Προσέχετε προσέχετε προσέχω
010601 C- -------- δὲ δὲ δέ δέ
010601 RA ----ASF- τὴν τὴν τήν ὁ
010601 N- ----ASF- δικαιοσύνην δικαιοσύνην δικαιοσύνην δικαιοσύνη
010601 RP ----GP-- ὑμῶν ὑμῶν ὑμῶν σύ
010601 D- -------- μὴ μὴ μή μή
010601 V- -PAN---- ποιεῖν ποιεῖν ποιεῖν ποιέω
010601 P- -------- ἔμπροσθεν ἔμπροσθεν ἔμπροσθεν ἔμπροσθεν
010601 RA ----GPM- τῶν τῶν τῶν ὁ
010601 N- ----GPM- ἀνθρώπων ἀνθρώπων ἀνθρώπων ἄνθρωπος
010601 P- -------- πρὸς πρὸς πρός πρός
010601 RA ----ASN- τὸ τὸ τό ὁ
010601 V- -APN---- θεαθῆναι θεαθῆναι θεαθῆναι θεάομαι
010601 RP ----DPM- αὐτοῖς· αὐτοῖς αὐτοῖς αὐτός
010601 C- -------- εἰ εἰ εἰ εἰ
010601 C- -------- δὲ δὲ δέ δέ
010601 D- -------- μή μή μή μή
010601 X- -------- γε, γε γέ γέ
010601 N- ----ASM- μισθὸν μισθὸν μισθόν μισθός
010601 D- -------- οὐκ οὐκ οὐ οὐ
010601 V- 2PAI-P-- ἔχετε ἔχετε ἔχετε ἔχω
010601 P- -------- παρὰ παρὰ παρά παρά
010601 RA ----DSM- τῷ τῷ τῷ ὁ
010601 N- ----DSM- πατρὶ πατρὶ πατρί πατήρ
010601 RP ----GP-- ὑμῶν ὑμῶν ὑμῶν σύ
010601 RA ----DSM- τῷ τῷ τῷ ὁ
010601 P- -------- ἐν ἐν ἐν ἐν
010601 RA ----DPM- τοῖς τοῖς τοῖς ὁ
010601 N- ----DPM- οὐρανοῖς. οὐρανοῖς οὐρανοῖς οὐρανός
010602 C- -------- Ὅταν Ὅταν ὅταν ὅταν
010602 C- -------- οὖν οὖν οὖν οὖν
010602 V- 2PAS-S-- ποιῇς ποιῇς ποιῇς ποιέω
010602 N- ----ASF- ἐλεημοσύνην, ἐλεημοσύνην ἐλεημοσύνην ἐλεημοσύνη
010602 D- -------- μὴ μὴ μή μή
010602 V- 2AAS-S-- σαλπίσῃς σαλπίσῃς σαλπίσῃς σαλπίζω
010602 P- -------- ἔμπροσθέν ἔμπροσθέν ἔμπροσθεν ἔμπροσθεν
010602 RP ----GS-- σου, σου σου σύ
010602 C- -------- ὥσπερ ὥσπερ ὥσπερ ὥσπερ
010602 RA ----NPM- οἱ οἱ οἱ ὁ
010602 N- ----NPM- ὑποκριταὶ ὑποκριταὶ ὑποκριταί ὑποκριτής
010602 V- 3PAI-P-- ποιοῦσιν ποιοῦσιν ποιοῦσι(ν) ποιέω
010602 P- -------- ἐν ἐν ἐν ἐν
010602 RA ----DPF- ταῖς ταῖς ταῖς ὁ
010602 N- ----DPF- συναγωγαῖς συναγωγαῖς συναγωγαῖς συναγωγή
010602 C- -------- καὶ καὶ καί καί
010602 P- -------- ἐν ἐν ἐν ἐν
010602 RA ----DPF- ταῖς ταῖς ταῖς ὁ
010602 N- ----DPF- ῥύμαις, ῥύμαις ῥύμαις ῥύμη
010602 C- -------- ὅπως ὅπως ὅπως ὅπως
010602 V- 3APS-P-- δοξασθῶσιν δοξασθῶσιν δοξασθῶσι(ν) δοξάζω
010602 P- -------- ὑπὸ ὑπὸ ὑπό ὑπό
010602 RA ----GPM- τῶν τῶν τῶν ὁ
010602 N- ----GPM- ἀνθρώπων· ἀνθρώπων ἀνθρώπων ἄνθρωπος
010602 X- -------- ἀμὴν ἀμὴν ἀμήν ἀμήν
010602 V- 1PAI-S-- λέγω λέγω λέγω λέγω
010602 RP ----DP-- ὑμῖν, ὑμῖν ὑμῖν σύ
010602 V- 3PAI-P-- ἀπέχουσιν ἀπέχουσιν ἀπέχουσι(ν) ἀπέχω
010602 RA ----ASM- τὸν τὸν τόν ὁ
010602 N- ----ASM- μισθὸν μισθὸν μισθόν μισθός
010602 RP ----GPM- αὐτῶν. αὐτῶν αὐτῶν αὐτός
010603 RP ----GS-- σοῦ σοῦ σοῦ σύ
010603 C- -------- δὲ δὲ δέ δέ
010603 V- -PAPGSM- ποιοῦντος ποιοῦντος ποιοῦντος ποιέω
010603 N- ----ASF- ἐλεημοσύνην ἐλεημοσύνην ἐλεημοσύνην ἐλεημοσύνη
010603 D- -------- μὴ μὴ μή μή
010603 V- 3AAD-S-- γνώτω γνώτω γνώτω γινώσκω
010603 RA ----NSF- ἡ ἡ ἡ ὁ
010603 A- ----NSF- ἀριστερά ἀριστερά ἀριστερά ἀριστερός
010603 RP ----GS-- σου σου σου σύ
010603 RI ----ASN- τί τί τί τίς
010603 V- 3PAI-S-- ποιεῖ ποιεῖ ποιεῖ ποιέω
010603 RA ----NSF- ἡ ἡ ἡ ὁ
010603 A- ----NSF- δεξιά δεξιά δεξιά δεξιός
010603 RP ----GS-- σου, σου σου σύ
010604 C- -------- ὅπως ὅπως ὅπως ὅπως
010604 V- 3PAS-S-- ᾖ ᾖ ᾖ εἰμί
010604 RP ----GS-- σου σου σου σύ
010604 RA ----NSF- ἡ ἡ ἡ ὁ
010604 N- ----NSF- ἐλεημοσύνη ἐλεημοσύνη ἐλεημοσύνη ἐλεημοσύνη
010604 P- -------- ἐν ἐν ἐν ἐν
