071101 N- ----NPM- μιμηταί μιμηταί μιμηταί μιμητής
071101 RP ----GS-- μου μου μου ἐγώ
071101 V- 2PMD-P-- γίνεσθε, γίνεσθε γίνεσθε γίνομαι
071101 C- -------- καθὼς καθὼς καθώς καθώς
071101 RP ----NS-- κἀγὼ κἀγὼ κἀγώ κἀγώ
071101 N- ----GSM- Χριστοῦ. Χριστοῦ Χριστοῦ Χριστός
071102 V- 1PAI-S-- Ἐπαινῶ Ἐπαινῶ ἐπαινῶ ἐπαινέω
071102 C- -------- δὲ δὲ δέ δέ
071102 RP ----AP-- ὑμᾶς ὑμᾶς ὑμᾶς σύ
071102 C- -------- ὅτι ὅτι ὅτι ὅτι
071102 A- ----APN- πάντα πάντα πάντα πᾶς
071102 RP ----GS-- μου μου μου ἐγώ
071102 V- 2XMI-P-- μέμνησθε μέμνησθε μέμνησθε μιμνῄσκομαι
071102 C- -------- καὶ καὶ καί καί
071102 C- -------- καθὼς καθὼς καθώς καθώς
071102 V- 1AAI-S-- παρέδωκα παρέδωκα παρέδωκα παραδίδωμι
071102 RP ----DP-- ὑμῖν ὑμῖν ὑμῖν σύ
071102 RA ----APF- τὰς τὰς τάς ὁ
071102 N- ----APF- παραδόσεις παραδόσεις παραδόσεις παράδοσις
071102 V- 2PAI-P-- κατέχετε. κατέχετε κατέχετε κατέχω
071103 V- 1PAI-S-- θέλω θέλω θέλω θέλω
071103 C- -------- δὲ δὲ δέ δέ
071103 RP ----AP-- ὑμᾶς ὑμᾶς ὑμᾶς σύ
071103 V- -XAN---- εἰδέναι εἰδέναι εἰδέναι οἶδα
071103 C- -------- ὅτι ὅτι ὅτι ὅτι
071103 A- ----GSM- παντὸς παντὸς παντός πᾶς
071103 N- ----GSM- ἀνδρὸς ἀνδρὸς ἀνδρός ἀνήρ
071103 RA ----NSF- ἡ ἡ ἡ ὁ
071103 N- ----NSF- κεφαλὴ κεφαλὴ κεφαλή κεφαλή
071103 RA ----NSM- ὁ ὁ ὁ ὁ
071103 N- ----NSM- Χριστός Χριστός Χριστός Χριστός
071103 V- 3PAI-S-- ἐστιν, ἐστιν ἐστί(ν) εἰμί
071103 N- ----NSF- κεφαλὴ κεφαλὴ κεφαλή κεφαλή
071103 C- -------- δὲ δὲ δέ δέ
071103 N- ----GSF- γυναικὸς γυναικὸς γυναικός γυνή
071103 RA ----NSM- ὁ ὁ ὁ ὁ
071103 N- ----NSM- ἀνήρ, ἀνήρ ἀνήρ ἀνήρ
071103 N- ----NSF- κεφαλὴ κεφαλὴ κεφαλή κεφαλή
071103 C- -------- δὲ δὲ δέ δέ
071103 RA ----GSM- τοῦ τοῦ τοῦ ὁ
071103 N- ----GSM- Χριστοῦ Χριστοῦ Χριστοῦ Χριστός
071103 RA ----NSM- ὁ ὁ ὁ ὁ
071103 N- ----NSM- θεός. θεός θεός θεός
071104 A- ----NSM- πᾶς πᾶς πᾶς πᾶς
071104 N- ----NSM- ἀνὴρ ἀνὴρ ἀνήρ ἀνήρ
071104 V- -PMPNSM- προσευχόμενος προσευχόμενος προσευχόμενος προσεύχομαι
071104 C- -------- ἢ ἢ ἤ ἤ
071104 V- -PAPNSM- προφητεύων προφητεύων προφητεύων προφητεύω
071104 P- -------- κατὰ κατὰ κατά κατά
071104 N- ----GSF- κεφαλῆς κεφαλῆς κεφαλῆς κεφαλή
071104 V- -PAPNSM- ἔχων ἔχων ἔχων ἔχω
071104 V- 3PAI-S-- καταισχύνει καταισχύνει καταισχύνει καταισχύνω
071104 RA ----ASF- τὴν τὴν τήν ὁ
071104 N- ----ASF- κεφαλὴν κεφαλὴν κεφαλήν κεφαλή
071104 RP ----GSM- αὐτοῦ· αὐτοῦ αὐτοῦ αὐτός
071105 A- ----NSF- πᾶσα πᾶσα πᾶσα πᾶς
071105 C- -------- δὲ δὲ δέ δέ
